scenario,frame,src,family,paMethod,plannedBwHz,rsHz,beta,execObwHz,theoryCleanObwHz,ratioVsTheory,ratioVsAllocation,measObwHz,snrDb,activeN
1,1,1,QAM,Cubic polynomial,20000000,16000000,0.25,17616531.81,17649091.31,0.998155,0.880827,17616536.71,-9.25719,2048
1,1,2,OFDM,Cubic polynomial,40000000,32000000,0.25,39566103.14,NaN,NaN,0.989153,39566102.01,21.7522,2048
1,5,1,QAM,Cubic polynomial,20000000,16000000,0.25,17656497.66,17649091.31,1.00042,0.882825,17656523.13,0.999129,2048
1,5,2,OFDM,Cubic polynomial,40000000,32000000,0.25,39444930.52,NaN,NaN,0.986123,39444922.89,10.2611,2048
1,6,1,QAM,Cubic polynomial,20000000,16000000,0.25,17616531.81,17649091.31,0.998155,0.880827,17616539.47,25.9681,2048
1,6,2,OFDM,Cubic polynomial,40000000,32000000,0.25,39566103.14,NaN,NaN,0.989153,39566104.25,7.7076,2048
1,10,1,QAM,Cubic polynomial,20000000,16000000,0.25,17656497.66,17649091.31,1.00042,0.882825,17656537.41,6.95998,2048
1,10,2,OFDM,Cubic polynomial,40000000,32000000,0.25,39444930.52,NaN,NaN,0.986123,39444938.64,15.2595,2048
1,11,1,QAM,Cubic polynomial,20000000,16000000,0.25,17616531.81,17649091.31,0.998155,0.880827,17616537.56,6.03752,2048
1,11,2,OFDM,Cubic polynomial,40000000,32000000,0.25,39566103.14,NaN,NaN,0.989153,39566102.87,15.0205,2048
1,15,1,QAM,Cubic polynomial,20000000,16000000,0.25,17656497.66,17649091.31,1.00042,0.882825,17656527.51,8.53636,2048
1,15,2,OFDM,Cubic polynomial,40000000,32000000,0.25,39444930.52,NaN,NaN,0.986123,39444928.65,11.1761,2048
2,1,1,OFDM,Lookup table,10000000,8000000,0.25,10020176.06,NaN,NaN,1.00202,9946533.73,-9.25719,2048
2,5,1,OFDM,Lookup table,10000000,8000000,0.25,9937364.823,NaN,NaN,0.993736,9954131.911,0.999132,2048
2,6,1,OFDM,Lookup table,10000000,8000000,0.25,10020176.06,NaN,NaN,1.00202,9964534.322,25.9692,2048
2,10,1,OFDM,Lookup table,10000000,8000000,0.25,9937364.823,NaN,NaN,0.993736,9843316.211,6.95999,2048
2,11,1,OFDM,Lookup table,10000000,8000000,0.25,10020176.06,NaN,NaN,1.00202,9983060.009,6.03753,2048
2,15,1,OFDM,Lookup table,10000000,8000000,0.25,9937364.823,NaN,NaN,0.993736,9847821.988,8.53638,2048
3,1,1,OFDM,Cubic polynomial,40000000,32000000,0.25,39613628.74,NaN,NaN,0.990341,39520072.36,-9.25719,1638
3,1,2,QAM,Ghorbani model,40000000,32000000,0.25,36589825.17,35298182.63,1.03659,0.914746,36577756.35,21.3287,1638
3,1,3,OFDM,Saleh model,40000000,32000000,0.25,39579603.22,NaN,NaN,0.98949,39583863.01,-5.93293,1638
3,4,1,OFDM,Cubic polynomial,40000000,32000000,0.25,39633519.18,NaN,NaN,0.990838,39518639.59,0.999132,1638
3,4,2,QAM,Ghorbani model,40000000,32000000,0.25,35614918.19,35298182.63,1.00897,0.890373,35880924.18,9.52523,1638
3,4,3,OFDM,Saleh model,40000000,32000000,0.25,39592402.5,NaN,NaN,0.98981,39556888.23,29.3998,1638
4,1,1,OFDM,Saleh model,40000000,32000000,0.25,39464172.2,NaN,NaN,0.986604,39464170.34,-9.2111,1024
4,1,2,OFDM,Lookup table,20000000,16000000,0.25,19877634.55,NaN,NaN,0.993882,19877634.81,21.3229,1024
4,1,3,OFDM,Saleh model,40000000,32000000,0.25,39537040.19,NaN,NaN,0.988426,39537000.55,-5.72756,1024
4,1,4,OFDM,Hyperbolic tangent,40000000,32000000,0.25,39477905.25,NaN,NaN,0.986948,39478030.72,15.9431,1024
4,2,1,OFDM,Saleh model,40000000,32000000,0.25,49593349.82,NaN,NaN,1.23983,49593337.25,-9.02335,1024
4,2,2,OFDM,Lookup table,20000000,16000000,0.25,49276315.71,NaN,NaN,2.46382,49276358.29,21.323,1024
4,2,3,OFDM,Saleh model,40000000,32000000,0.25,49058757.34,NaN,NaN,1.22647,49058702.72,-5.52288,1024
4,2,4,OFDM,Hyperbolic tangent,40000000,32000000,0.25,49559964.58,NaN,NaN,1.239,49559917.76,16.3236,1024
4,5,1,OFDM,Saleh model,40000000,32000000,0.25,39622086.57,NaN,NaN,0.990552,39622123.04,1.02512,1024
4,5,2,OFDM,Lookup table,20000000,16000000,0.25,19958820.84,NaN,NaN,0.997941,19958807.42,9.52516,1024
4,5,3,OFDM,Saleh model,40000000,32000000,0.25,39497389.84,NaN,NaN,0.987435,39497404.94,29.5946,1024
4,5,4,OFDM,Hyperbolic tangent,40000000,32000000,0.25,39645507.18,NaN,NaN,0.991138,39645506.31,12.6347,1024
4,6,1,OFDM,Saleh model,40000000,32000000,0.25,49467785.95,NaN,NaN,1.23669,49467776,1.28268,1024
4,6,2,OFDM,Lookup table,20000000,16000000,0.25,49500211.47,NaN,NaN,2.47501,49500110.23,9.52516,1024
4,6,3,OFDM,Saleh model,40000000,32000000,0.25,49211404.6,NaN,NaN,1.23029,49211480.38,29.8363,1024
4,6,4,OFDM,Hyperbolic tangent,40000000,32000000,0.25,48953615.67,NaN,NaN,1.22384,48953570.28,12.7918,1024
4,9,1,OFDM,Saleh model,40000000,32000000,0.25,39846335.48,NaN,NaN,0.996158,39846369.36,4.72292,1024
4,9,2,OFDM,Lookup table,20000000,16000000,0.25,19994958.4,NaN,NaN,0.999748,19994936.88,21.6935,1024
4,9,3,OFDM,Saleh model,40000000,32000000,0.25,39568085.95,NaN,NaN,0.989202,39568127.58,20.1009,1024
4,9,4,OFDM,Hyperbolic tangent,40000000,32000000,0.25,39572568.34,NaN,NaN,0.989314,39572539.82,23.3771,1024
4,10,1,OFDM,Saleh model,40000000,32000000,0.25,49461047.09,NaN,NaN,1.23653,49461052.72,4.85367,1024
4,10,2,OFDM,Lookup table,20000000,16000000,0.25,49345805.27,NaN,NaN,2.46729,49345729.82,21.6934,1024
4,10,3,OFDM,Saleh model,40000000,32000000,0.25,49166517.67,NaN,NaN,1.22916,49166888.7,20.3693,1024
4,10,4,OFDM,Hyperbolic tangent,40000000,32000000,0.25,49505718.07,NaN,NaN,1.23764,49505657.76,23.5941,1024
4,11,1,OFDM,Saleh model,40000000,32000000,0.25,39464172.2,NaN,NaN,0.986604,39464173.29,26.0153,1024
4,11,2,OFDM,Lookup table,20000000,16000000,0.25,19877634.55,NaN,NaN,0.993882,19877634.53,7.28498,1024
