scenario,frame,src,family,paMethod,plannedBwHz,rsHz,beta,execObwHz,theoryCleanObwHz,ratioVsTheory,ratioVsAllocation,measObwHz,snrDb,activeN
11,9,2,FM,Cubic polynomial,180000,144092.219,0.25,578387.6925,NaN,NaN,3.21326,578191.9021,11.6533,2046
11,9,3,FM,Saleh model,180000,144092.219,0.25,567026.9568,NaN,NaN,3.15015,565839.9022,-6.43242,2046
11,9,4,FM,Cubic polynomial,200000,159744.4089,0.25,565266.2572,NaN,NaN,2.82633,565243.3871,2.74503,2033
11,9,5,FM,Ghorbani model,200000,159744.4089,0.25,572904.4818,NaN,NaN,2.86452,572916.0662,15.5647,2033
11,10,1,FM,Modified Rapp model,180000,144092.219,0.25,572435.6903,NaN,NaN,3.1802,572434.149,25.9693,2046
11,10,2,DSBAM,Modified Rapp model,25000,20000,0.25,601757.055,NaN,NaN,24.0703,601139.176,19.9083,2046
11,10,3,FM,Cubic polynomial,180000,144092.219,0.25,621889.7858,NaN,NaN,3.45494,621726.2501,11.6533,2046
11,10,4,FM,Saleh model,180000,144092.219,0.25,547914.2051,NaN,NaN,3.04397,547848.0819,-6.43242,2046
11,10,5,FM,Cubic polynomial,200000,159744.4089,0.25,564943.0894,NaN,NaN,2.82472,564905.0491,2.74503,2033
11,10,6,FM,Ghorbani model,200000,159744.4089,0.25,572904.4906,NaN,NaN,2.86452,572915.6849,15.5647,2033
12,1,1,OFDM,Saleh model,10000000,8000000,0.25,10017406.65,NaN,NaN,1.00174,9837458.69,-9.25719,2047
12,1,2,OFDM,Cubic polynomial,20000000,16000000,0.25,19896923.25,NaN,NaN,0.994846,19810574.15,21.3296,2047
12,1,3,OFDM,Lookup table,20000000,16000000,0.25,19764197.9,NaN,NaN,0.98821,19559068.08,-5.93293,2047
12,1,4,OFDM,Saleh model,10000000,8000000,0.25,10008300.21,NaN,NaN,1.00083,9897791.429,15.8282,2047
12,1,5,QAM,Hyperbolic tangent,20000000,16000000,0.25,17818526.78,17649091.31,1.0096,0.890926,17636695.86,20.3975,2047
12,1,6,QAM,Ghorbani model,10000000,8000000,0.25,9043306.323,8824545.657,1.02479,0.904331,9025115.961,6.50406,2047
12,2,1,OFDM,Saleh model,10000000,8000000,0.25,10686752.3,NaN,NaN,1.06868,10613668.84,-9.25719,409
12,2,2,OFDM,Cubic polynomial,20000000,16000000,0.25,20457328.78,NaN,NaN,1.02287,20247822.64,21.3296,409
12,2,3,OFDM,Lookup table,20000000,16000000,0.25,20417561.84,NaN,NaN,1.02088,20229174.18,-5.93293,409
12,2,4,OFDM,Saleh model,10000000,8000000,0.25,10114542.67,NaN,NaN,1.01145,10065289.07,15.8283,1637
12,2,5,QAM,Hyperbolic tangent,20000000,16000000,0.25,18205261.27,17649091.31,1.03151,0.910263,18353460.29,20.3976,409
12,2,6,QAM,Ghorbani model,10000000,8000000,0.25,9431206.59,8824545.657,1.06875,0.943121,9339381.458,6.50407,409
12,5,1,OFDM,Saleh model,10000000,8000000,0.25,10776938.27,NaN,NaN,1.07769,10651986.2,0.99913,409
12,5,2,OFDM,Cubic polynomial,20000000,16000000,0.25,20305702.89,NaN,NaN,1.01529,20116814.52,9.52525,409
12,5,3,OFDM,Lookup table,20000000,16000000,0.25,20518312.79,NaN,NaN,1.02592,20320954.33,29.4006,409
12,5,4,QAM,Hyperbolic tangent,20000000,16000000,0.25,18148982.9,17649091.31,1.02832,0.907449,18354531.76,21.4815,409
12,5,5,QAM,Ghorbani model,10000000,8000000,0.25,9425141.945,8824545.657,1.06806,0.942514,9169408.321,8.21908,409
12,6,1,OFDM,Saleh model,10000000,8000000,0.25,9954021.321,NaN,NaN,0.995402,9962841.621,0.999121,2047
