scenario,frame,src,family,paMethod,plannedBwHz,rsHz,beta,execObwHz,theoryCleanObwHz,ratioVsTheory,ratioVsAllocation,measObwHz,snrDb,activeN
9,11,2,OFDM,Lookup table,20000000,16000000,0.25,35415489.96,NaN,NaN,1.77077,35348360.45,7.28501,1024
9,12,1,OFDM,Cubic polynomial,40000000,32000000,0.25,49665414.13,NaN,NaN,1.24164,49575895.01,6.95999,205
9,12,2,OFDM,Lookup table,20000000,16000000,0.25,35547056.66,NaN,NaN,1.77735,35302740.61,7.28501,1024
9,13,1,OFDM,Cubic polynomial,40000000,32000000,0.25,49390921.28,NaN,NaN,1.23477,49349959.34,-8.77909,410
9,13,2,OFDM,Lookup table,20000000,16000000,0.25,35401391.35,NaN,NaN,1.77007,35284936.79,7.285,1024
9,14,1,OFDM,Cubic polynomial,40000000,32000000,0.25,49589415.43,NaN,NaN,1.23974,49477081.52,-8.77909,1024
9,14,2,OFDM,Lookup table,20000000,16000000,0.25,35802555.04,NaN,NaN,1.79013,35605381.93,7.28498,567
10,1,1,QAM,Modified Rapp model,10000000,8000000,0.25,10139330.69,8824545.657,1.14899,1.01393,10139319.72,-9.25719,4096
10,1,2,QAM,Cubic polynomial,40000000,32000000,0.25,46261314.9,35298182.63,1.31059,1.15653,46261308.55,21.3291,4096
10,1,3,QAM,Cubic polynomial,20000000,16000000,0.25,43005209.41,17649091.31,2.43668,2.15026,43005153.28,-5.92826,4096
10,1,4,OFDM,Saleh model,20000000,16000000,0.25,19823930.08,NaN,NaN,0.991197,19823929.3,17.1715,4096
10,1,5,QAM,Saleh model,10000000,8000000,0.25,9406708.392,8824545.657,1.06597,0.940671,9406719.571,20.3942,4096
10,1,6,QAM,Hyperbolic tangent,40000000,32000000,0.25,46029781.36,35298182.63,1.30403,1.15074,46029864.45,6.40046,4096
10,2,1,QAM,Modified Rapp model,10000000,8000000,0.25,11341736.9,8824545.657,1.28525,1.13417,11341726.86,-9.25719,819
10,2,2,QAM,Cubic polynomial,40000000,32000000,0.25,45293636.86,35298182.63,1.28317,1.13234,45293639.18,21.3295,819
10,2,3,QAM,Cubic polynomial,20000000,16000000,0.25,42377271.15,17649091.31,2.4011,2.11886,42377273.43,-5.98751,819
10,2,4,OFDM,Saleh model,20000000,16000000,0.25,41314381.53,NaN,NaN,2.06572,41314328.38,16.8163,3277
10,2,5,QAM,Saleh model,10000000,8000000,0.25,9956145.27,8824545.657,1.12823,0.995615,9956148.282,20.4134,819
10,2,6,QAM,Hyperbolic tangent,40000000,32000000,0.25,46224117.98,35298182.63,1.30953,1.1556,46224146.64,6.29382,819
10,5,1,QAM,Modified Rapp model,10000000,8000000,0.25,10668360.2,8824545.657,1.20894,1.06684,10668346.63,0.999132,819
10,5,2,QAM,Cubic polynomial,40000000,32000000,0.25,46470733.36,35298182.63,1.31652,1.16177,46470817.28,9.52525,819
10,5,3,QAM,Cubic polynomial,20000000,16000000,0.25,42363488.5,17649091.31,2.40032,2.11817,42363486.89,29.3621,819
10,5,4,QAM,Saleh model,10000000,8000000,0.25,10322932.64,8824545.657,1.1698,1.03229,10322899.2,21.4686,819
10,5,5,QAM,Hyperbolic tangent,40000000,32000000,0.25,46802619.71,35298182.63,1.32592,1.17007,46802625.92,8.18485,819
10,6,1,QAM,Modified Rapp model,10000000,8000000,0.25,9977374.59,8824545.657,1.13064,0.997737,9977357.823,0.999131,4096
10,6,2,QAM,Cubic polynomial,40000000,32000000,0.25,46094038.75,35298182.63,1.30585,1.15235,46094083.29,9.52524,4096
10,6,3,QAM,Cubic polynomial,20000000,16000000,0.25,42277518.18,17649091.31,2.39545,2.11388,42277528.31,29.3945,4096
10,6,4,QAM,Saleh model,10000000,8000000,0.25,9500153.338,8824545.657,1.07656,0.950015,9500177.379,21.4802,4096
10,6,5,QAM,Hyperbolic tangent,40000000,32000000,0.25,46970573.84,35298182.63,1.33068,1.17426,46970613.69,8.18183,4096
10,7,1,QAM,Modified Rapp model,10000000,8000000,0.25,10139330.69,8824545.657,1.14899,1.01393,10139343.45,25.9685,4096
10,7,2,QAM,Cubic polynomial,40000000,32000000,0.25,46261314.9,35298182.63,1.31059,1.15653,46261308.09,7.285,4096
10,7,3,QAM,Cubic polynomial,20000000,16000000,0.25,43005209.41,17649091.31,2.43668,2.15026,43005155.87,11.6579,4096
10,7,4,OFDM,Saleh model,20000000,16000000,0.25,19823930.08,NaN,NaN,0.991197,19823929.91,-5.08908,4096
10,7,5,QAM,Saleh model,10000000,8000000,0.25,9406708.392,8824545.657,1.06597,0.940671,9406717.544,2.74222,4096
10,7,6,QAM,Hyperbolic tangent,40000000,32000000,0.25,46029781.36,35298182.63,1.30403,1.15074,46029872.27,15.4611,4096
10,8,1,QAM,Modified Rapp model,10000000,8000000,0.25,11341736.9,8824545.657,1.28525,1.13417,11341748.61,25.9689,819
10,8,2,QAM,Cubic polynomial,40000000,32000000,0.25,45293636.86,35298182.63,1.28317,1.13234,45293639.35,7.28501,819
10,8,3,QAM,Cubic polynomial,20000000,16000000,0.25,42377271.15,17649091.31,2.4011,2.11886,42377273.32,11.5987,819
10,8,4,OFDM,Saleh model,20000000,16000000,0.25,41314381.53,NaN,NaN,2.06572,41314370.71,-5.44439,3277
10,8,5,QAM,Saleh model,10000000,8000000,0.25,9956145.27,8824545.657,1.12823,0.995615,9956147.735,2.76098,819
10,8,6,QAM,Hyperbolic tangent,40000000,32000000,0.25,46224117.98,35298182.63,1.30953,1.1556,46224149.33,15.3544,819
10,11,1,QAM,Modified Rapp model,10000000,8000000,0.25,10668360.2,8824545.657,1.20894,1.06684,10668375.99,6.95999,819
10,11,2,QAM,Cubic polynomial,40000000,32000000,0.25,46470733.36,35298182.63,1.31652,1.16177,46470823.38,14.5237,819
10,11,3,QAM,Cubic polynomial,20000000,16000000,0.25,42363488.5,17649091.31,2.40032,2.11817,42363486.97,11.7616,819
10,11,4,QAM,Saleh model,10000000,8000000,0.25,10322932.64,8824545.657,1.1698,1.03229,10322905.32,18.3123,819
10,11,5,QAM,Hyperbolic tangent,40000000,32000000,0.25,46802619.71,35298182.63,1.32592,1.17007,46802626.51,19.0186,819
10,12,1,QAM,Modified Rapp model,10000000,8000000,0.25,9977374.59,8824545.657,1.13064,0.997737,9977394.259,6.95999,4096
10,12,2,QAM,Cubic polynomial,40000000,32000000,0.25,46094038.75,35298182.63,1.30585,1.15235,46094086.54,14.5236,4096
10,12,3,QAM,Cubic polynomial,20000000,16000000,0.25,42277518.18,17649091.31,2.39545,2.11388,42277527.84,11.7946,4096
10,12,4,QAM,Saleh model,10000000,8000000,0.25,9500153.338,8824545.657,1.07656,0.950015,9500172.986,18.324,4096
10,12,5,QAM,Hyperbolic tangent,40000000,32000000,0.25,46970573.84,35298182.63,1.33068,1.17426,46970617.44,19.0156,4096
10,13,1,QAM,Modified Rapp model,10000000,8000000,0.25,10139330.69,8824545.657,1.14899,1.01393,10139341.81,6.03753,4096
10,13,2,QAM,Cubic polynomial,40000000,32000000,0.25,46261314.9,35298182.63,1.31059,1.15653,46261321.33,14.5978,4096
10,13,3,QAM,Cubic polynomial,20000000,16000000,0.25,43005209.41,17649091.31,2.43668,2.15026,43005187.3,-4.62394,4096
10,13,4,OFDM,Saleh model,20000000,16000000,0.25,19823930.08,NaN,NaN,0.991197,19823930,3.16317,4096
10,13,5,QAM,Saleh model,10000000,8000000,0.25,9406708.392,8824545.657,1.06597,0.940671,9406711.731,3.40917,4096
10,13,6,QAM,Hyperbolic tangent,40000000,32000000,0.25,46029781.36,35298182.63,1.30403,1.15074,46029856.69,-4.06685,4096
10,14,1,QAM,Modified Rapp model,10000000,8000000,0.25,11341736.9,8824545.657,1.28525,1.13417,11341747.1,6.03753,819
10,14,2,QAM,Cubic polynomial,40000000,32000000,0.25,45293636.86,35298182.63,1.28317,1.13234,45293634.55,14.5979,819
10,14,3,QAM,Cubic polynomial,20000000,16000000,0.25,42377271.15,17649091.31,2.4011,2.11886,42377272.05,-4.68319,819
10,14,4,OFDM,Saleh model,20000000,16000000,0.25,41314381.53,NaN,NaN,2.06572,41314377.06,2.80787,3277
10,14,5,QAM,Saleh model,10000000,8000000,0.25,9956145.27,8824545.657,1.12823,0.995615,9956146.169,3.42793,819
10,14,6,QAM,Hyperbolic tangent,40000000,32000000,0.25,46224117.98,35298182.63,1.30953,1.1556,46224143.96,-4.17349,819
10,17,1,QAM,Modified Rapp model,10000000,8000000,0.25,10668360.2,8824545.657,1.20894,1.06684,10668373.96,8.53638,819
10,17,2,QAM,Cubic polynomial,40000000,32000000,0.25,46470733.36,35298182.63,1.31652,1.16177,46470649.1,10.4403,819
10,17,3,QAM,Cubic polynomial,20000000,16000000,0.25,42363488.5,17649091.31,2.40032,2.11817,42363487.87,16.6484,819
10,17,4,QAM,Saleh model,10000000,8000000,0.25,10322932.64,8824545.657,1.1698,1.03229,10322922.72,-2.5926,819
10,17,5,QAM,Hyperbolic tangent,40000000,32000000,0.25,46802619.71,35298182.63,1.32592,1.17007,46802625.34,-2.43548,819
10,18,1,QAM,Modified Rapp model,10000000,8000000,0.25,9977374.59,8824545.657,1.13064,0.997737,9977391.722,8.53637,4096
10,18,2,QAM,Cubic polynomial,40000000,32000000,0.25,46094038.75,35298182.63,1.30585,1.15235,46093994.12,10.4403,4096
10,18,3,QAM,Cubic polynomial,20000000,16000000,0.25,42277518.18,17649091.31,2.39545,2.11388,42277522.15,16.6813,4096
10,18,4,QAM,Saleh model,10000000,8000000,0.25,9500153.338,8824545.657,1.07656,0.950015,9500160.47,-2.58078,4096
10,18,5,QAM,Hyperbolic tangent,40000000,32000000,0.25,46970573.84,35298182.63,1.33068,1.17426,46970609.96,-2.4385,4096
10,19,1,QAM,Modified Rapp model,10000000,8000000,0.25,10139330.69,8824545.657,1.14899,1.01393,10139343.86,-5.74423,4096
10,19,2,QAM,Cubic polynomial,40000000,32000000,0.25,46261314.9,35298182.63,1.31059,1.15653,46261308.29,-9.19977,4096
10,19,3,QAM,Cubic polynomial,20000000,16000000,0.25,43005209.41,17649091.31,2.43668,2.15026,43005152.19,-6.17366,4096
10,19,4,OFDM,Saleh model,20000000,16000000,0.25,19823930.08,NaN,NaN,0.991197,19823929.23,1.59834,4096
10,19,5,QAM,Saleh model,10000000,8000000,0.25,9406708.392,8824545.657,1.06597,0.940671,9406719.06,1.3557,4096
10,19,6,QAM,Hyperbolic tangent,40000000,32000000,0.25,46029781.36,35298182.63,1.30403,1.15074,46029869.08,-2.54344,4096
10,20,1,QAM,Modified Rapp model,10000000,8000000,0.25,11341736.9,8824545.657,1.28525,1.13417,11341748.99,-5.74423,819
10,20,2,QAM,Cubic polynomial,40000000,32000000,0.25,45293636.86,35298182.63,1.28317,1.13234,45293639.27,-9.19976,819
10,20,3,QAM,Cubic polynomial,20000000,16000000,0.25,42377271.15,17649091.31,2.4011,2.11886,42377273.47,-6.23291,819
10,20,4,OFDM,Saleh model,20000000,16000000,0.25,41314381.53,NaN,NaN,2.06572,41314322.97,1.24304,3277
10,20,5,QAM,Saleh model,10000000,8000000,0.25,9956145.27,8824545.657,1.12823,0.995615,9956148.144,1.37446,819
10,20,6,QAM,Hyperbolic tangent,40000000,32000000,0.25,46224117.98,35298182.63,1.30953,1.1556,46224148.23,-2.65008,819
10,23,1,QAM,Modified Rapp model,10000000,8000000,0.25,10668360.2,8824545.657,1.20894,1.06684,10668376.5,1.30753,819
10,23,2,QAM,Cubic polynomial,40000000,32000000,0.25,46470733.36,35298182.63,1.31652,1.16177,46470820.77,8.53926,819
10,23,3,QAM,Cubic polynomial,20000000,16000000,0.25,42363488.5,17649091.31,2.40032,2.11817,42363486.86,13.6692,819
10,23,4,QAM,Saleh model,10000000,8000000,0.25,10322932.64,8824545.657,1.1698,1.03229,10322900.75,12.7018,819
10,23,5,QAM,Hyperbolic tangent,40000000,32000000,0.25,46802619.71,35298182.63,1.32592,1.17007,46802626.27,-6.46148,819
10,24,1,QAM,Modified Rapp model,10000000,8000000,0.25,9977374.59,8824545.657,1.13064,0.997737,9977394.9,1.30753,4096
10,24,2,QAM,Cubic polynomial,40000000,32000000,0.25,46094038.75,35298182.63,1.30585,1.15235,46094085.15,8.53924,4096
10,24,3,QAM,Cubic polynomial,20000000,16000000,0.25,42277518.18,17649091.31,2.39545,2.11388,42277528.51,13.7022,4096
10,24,4,QAM,Saleh model,10000000,8000000,0.25,9500153.338,8824545.657,1.07656,0.950015,9500176.27,12.7136,4096
10,24,5,QAM,Hyperbolic tangent,40000000,32000000,0.25,46970573.84,35298182.63,1.33068,1.17426,46970615.91,-6.46449,4096
11,1,1,FM,Ghorbani model,180000,144092.219,0.25,572010.3423,NaN,NaN,3.17784,572007.1402,-9.25719,2048
11,1,2,DSBAM,Saleh model,25000,20000,0.25,550800.1486,NaN,NaN,22.032,550403.0944,20.6587,2048
11,1,3,FM,Ghorbani model,180000,144092.219,0.25,576373.2817,NaN,NaN,3.20207,575954.39,-5.93293,2048
11,1,4,FM,Lookup table,180000,144092.219,0.25,545999.3072,NaN,NaN,3.03333,545331.9074,15.7108,2048
11,1,5,FM,Hyperbolic tangent,200000,159744.4089,0.25,564534.8746,NaN,NaN,2.82267,564538.626,20.3928,2035
11,1,6,FM,Lookup table,200000,159744.4089,0.25,572755.1279,NaN,NaN,2.86378,572757.6905,6.50398,2035
11,2,1,FM,Ghorbani model,180000,144092.219,0.25,572010.3425,NaN,NaN,3.17784,572007.1289,-9.25719,2048
11,2,2,FM,Ghorbani model,180000,144092.219,0.25,576380.8169,NaN,NaN,3.20212,575955.977,-5.93293,2048
11,2,3,FM,Lookup table,180000,144092.219,0.25,545993.4895,NaN,NaN,3.0333,545088.5657,15.6482,2048
11,2,4,FM,Hyperbolic tangent,200000,159744.4089,0.25,564534.6003,NaN,NaN,2.82267,564538.4592,20.3929,2035
11,2,5,FM,Lookup table,200000,159744.4089,0.25,572755.5487,NaN,NaN,2.86378,572759.5948,6.50399,2035
11,3,1,FM,Ghorbani model,180000,144092.219,0.25,572010.3421,NaN,NaN,3.17784,572006.8856,-9.25719,2048
11,3,2,DSBAM,Saleh model,25000,20000,0.25,551057.0155,NaN,NaN,22.0423,551319.5747,9.51051,2048
11,3,3,FM,Ghorbani model,180000,144092.219,0.25,576382.5062,NaN,NaN,3.20213,575942.984,-5.93293,2048
11,3,4,FM,Lookup table,180000,144092.219,0.25,545992.3922,NaN,NaN,3.03329,544677.8488,15.5331,2048
11,3,5,FM,Hyperbolic tangent,200000,159744.4089,0.25,564534.6717,NaN,NaN,2.82267,564537.5568,20.3931,2035
11,3,6,FM,Lookup table,200000,159744.4089,0.25,572755.8314,NaN,NaN,2.86378,572761.0349,6.50399,2035
11,4,1,FM,Ghorbani model,180000,144092.219,0.25,572010.3432,NaN,NaN,3.17784,572006.8343,-9.25719,2048
11,4,2,FM,Ghorbani model,180000,144092.219,0.25,576392.5849,NaN,NaN,3.20218,575941.3243,-5.93293,2048
11,4,3,FM,Lookup table,180000,144092.219,0.25,545996.2371,NaN,NaN,3.03331,543886.0848,15.2645,2048
11,4,4,FM,Hyperbolic tangent,200000,159744.4089,0.25,564534.8939,NaN,NaN,2.82267,564537.5408,20.3932,2035
11,4,5,FM,Lookup table,200000,159744.4089,0.25,572756.0517,NaN,NaN,2.86378,572762.5809,6.50399,2035
11,5,1,FM,Ghorbani model,180000,144092.219,0.25,572010.3461,NaN,NaN,3.17784,572006.7864,-9.25719,2048
11,5,2,DSBAM,Saleh model,25000,20000,0.25,551178.2758,NaN,NaN,22.0471,551343.2777,19.9822,2048
11,5,3,FM,Ghorbani model,180000,144092.219,0.25,576377.9681,NaN,NaN,3.2021,575919.0908,-5.93293,2048
11,5,4,FM,Lookup table,180000,144092.219,0.25,545985.7284,NaN,NaN,3.03325,542659.7101,14.7907,2048
11,5,5,FM,Hyperbolic tangent,200000,159744.4089,0.25,564534.452,NaN,NaN,2.82267,564537.0303,20.3934,2035
11,5,6,FM,Lookup table,200000,159744.4089,0.25,572755.3452,NaN,NaN,2.86378,572763.1562,6.504,2035
11,6,1,FM,Ghorbani model,180000,144092.219,0.25,572010.3423,NaN,NaN,3.17784,571998.3022,25.9645,2048
11,6,2,DSBAM,Saleh model,25000,20000,0.25,550800.1486,NaN,NaN,22.032,551089.8561,7.28313,2048
11,6,3,FM,Ghorbani model,180000,144092.219,0.25,576373.2817,NaN,NaN,3.20207,576195.3466,11.6533,2048
11,6,4,FM,Lookup table,180000,144092.219,0.25,545999.3072,NaN,NaN,3.03333,545927.6043,-6.43243,2048
11,6,5,FM,Hyperbolic tangent,200000,159744.4089,0.25,564534.8746,NaN,NaN,2.82267,564496.5741,2.74497,2035
11,6,6,FM,Lookup table,200000,159744.4089,0.25,572755.1279,NaN,NaN,2.86378,572794.8392,15.5646,2035
