scenario,frame,src,family,paMethod,plannedBwHz,rsHz,beta,execObwHz,theoryCleanObwHz,ratioVsTheory,ratioVsAllocation,measObwHz,snrDb,activeN
1,1,1,QAM,Lookup table,20000000,16000000,0.25,17613771.08,17649091.31,0.997999,0.880689,17613783.12,-9.25719,2046
1,1,2,OFDM,Lookup table,40000000,32000000,0.25,39580341.62,NaN,NaN,0.989509,39580340.72,21.4453,2046
1,5,1,QAM,Lookup table,20000000,16000000,0.25,17664367.32,17649091.31,1.00087,0.883218,17664391.83,0.999133,2046
1,5,2,OFDM,Lookup table,40000000,32000000,0.25,39401121.27,NaN,NaN,0.985028,39401169.43,9.71074,2046
1,6,1,QAM,Lookup table,20000000,16000000,0.25,17613771.08,17649091.31,0.997999,0.880689,17613789.88,25.9693,2046
1,6,2,OFDM,Lookup table,40000000,32000000,0.25,39580341.62,NaN,NaN,0.989509,39580342.49,7.40061,2046
1,10,1,QAM,Lookup table,20000000,16000000,0.25,17664367.32,17649091.31,1.00087,0.883218,17664405.56,6.95999,2046
1,10,2,OFDM,Lookup table,40000000,32000000,0.25,39401121.27,NaN,NaN,0.985028,39401072.47,14.7092,2046
1,11,1,QAM,Lookup table,20000000,16000000,0.25,17613771.08,17649091.31,0.997999,0.880689,17613785.2,6.03754,2046
1,11,2,OFDM,Lookup table,40000000,32000000,0.25,39580341.62,NaN,NaN,0.989509,39580341.41,14.7135,2046
1,15,1,QAM,Lookup table,20000000,16000000,0.25,17664367.32,17649091.31,1.00087,0.883218,17664396.05,8.53639,2046
1,15,2,OFDM,Lookup table,40000000,32000000,0.25,39401121.27,NaN,NaN,0.985028,39401132.85,10.6258,2046
2,1,1,OFDM,Modified Rapp model,10000000,8000000,0.25,10020050.03,NaN,NaN,1.00201,9939612.088,-9.25719,2046
2,5,1,OFDM,Modified Rapp model,10000000,8000000,0.25,10032869.1,NaN,NaN,1.00329,10018415.67,0.999133,2046
2,6,1,OFDM,Modified Rapp model,10000000,8000000,0.25,10020050.03,NaN,NaN,1.00201,9973936.163,25.9693,2046
2,10,1,OFDM,Modified Rapp model,10000000,8000000,0.25,10032869.1,NaN,NaN,1.00329,9958057.553,6.95999,2046
2,11,1,OFDM,Modified Rapp model,10000000,8000000,0.25,10020050.03,NaN,NaN,1.00201,9968371.32,6.03754,2046
2,15,1,OFDM,Modified Rapp model,10000000,8000000,0.25,10032869.1,NaN,NaN,1.00329,9940885.092,8.53639,2046
3,1,1,OFDM,Modified Rapp model,40000000,32000000,0.25,39608729.88,NaN,NaN,0.990218,39559421.76,-9.25719,1637
3,1,2,QAM,Cubic polynomial,40000000,32000000,0.25,37225383.76,35298182.63,1.0546,0.930635,36738937,21.3296,1637
3,1,3,OFDM,Hyperbolic tangent,40000000,32000000,0.25,39580761.91,NaN,NaN,0.989519,39584410.06,-5.93293,1637
3,4,1,OFDM,Modified Rapp model,40000000,32000000,0.25,39672038.75,NaN,NaN,0.991801,39561357.28,0.999132,1637
3,4,2,QAM,Cubic polynomial,40000000,32000000,0.25,36248541.91,35298182.63,1.02692,0.906214,36211916.63,9.52524,1637
3,4,3,OFDM,Hyperbolic tangent,40000000,32000000,0.25,39587439.38,NaN,NaN,0.989686,39585423.38,29.4004,1637
4,1,1,OFDM,Ghorbani model,40000000,32000000,0.25,39924983.24,NaN,NaN,0.998125,39924969.88,-9.35717,1022
4,1,2,OFDM,Saleh model,20000000,16000000,0.25,19865152.26,NaN,NaN,0.993258,19865139.96,21.3297,1022
4,1,3,OFDM,Lookup table,40000000,32000000,0.25,39543697.89,NaN,NaN,0.988592,39543656.96,-5.87134,1022
4,1,4,OFDM,Cubic polynomial,40000000,32000000,0.25,39492152.18,NaN,NaN,0.987304,39492124.99,15.6902,1022
4,2,1,OFDM,Ghorbani model,40000000,32000000,0.25,49368967.25,NaN,NaN,1.23422,49369021.64,-8.85851,1022
4,2,2,OFDM,Saleh model,20000000,16000000,0.25,49412947.23,NaN,NaN,2.47065,49412859.5,21.3297,1022
4,2,3,OFDM,Lookup table,40000000,32000000,0.25,49548509.43,NaN,NaN,1.23871,49548427.16,-5.84931,1022
4,2,4,OFDM,Cubic polynomial,40000000,32000000,0.25,49609401.15,NaN,NaN,1.24024,49609424.77,16.3569,1022
4,5,1,OFDM,Ghorbani model,40000000,32000000,0.25,39947755.37,NaN,NaN,0.998694,39947767.64,0.876475,1022
4,5,2,OFDM,Saleh model,20000000,16000000,0.25,19960369.62,NaN,NaN,0.998018,19960385.76,9.52525,1022
4,5,3,OFDM,Lookup table,40000000,32000000,0.25,39552300.28,NaN,NaN,0.988808,39552289.97,29.4722,1022
4,5,4,OFDM,Cubic polynomial,40000000,32000000,0.25,39670407.01,NaN,NaN,0.99176,39670372.49,12.3475,1022
4,6,1,OFDM,Ghorbani model,40000000,32000000,0.25,49622868.14,NaN,NaN,1.24057,49622871.93,1.47074,1022
4,6,2,OFDM,Saleh model,20000000,16000000,0.25,49192319.33,NaN,NaN,2.45962,49192320.3,9.52525,1022
4,6,3,OFDM,Lookup table,40000000,32000000,0.25,49369609.43,NaN,NaN,1.23424,49369317.42,29.5856,1022
4,6,4,OFDM,Cubic polynomial,40000000,32000000,0.25,49612432.18,NaN,NaN,1.24031,49612407.69,12.726,1022
4,9,1,OFDM,Ghorbani model,40000000,32000000,0.25,40074814.72,NaN,NaN,1.00187,40074771.17,4.36023,1022
4,9,2,OFDM,Saleh model,20000000,16000000,0.25,19982854.18,NaN,NaN,0.999143,19982826.47,21.6946,1022
4,9,3,OFDM,Lookup table,40000000,32000000,0.25,39529623.64,NaN,NaN,0.988241,39529685.3,19.9355,1022
4,9,4,OFDM,Cubic polynomial,40000000,32000000,0.25,39584089.38,NaN,NaN,0.989602,39584075.61,23.1694,1022
4,10,1,OFDM,Ghorbani model,40000000,32000000,0.25,49559087.3,NaN,NaN,1.23898,49559061.68,4.95943,1022
4,10,2,OFDM,Saleh model,20000000,16000000,0.25,48870932.97,NaN,NaN,2.44355,48870948.56,21.6946,1022
4,10,3,OFDM,Lookup table,40000000,32000000,0.25,49371542.11,NaN,NaN,1.23429,49371666.61,19.9612,1022
4,10,4,OFDM,Cubic polynomial,40000000,32000000,0.25,49382881.13,NaN,NaN,1.23457,49382870.09,23.8232,1022
4,11,1,OFDM,Ghorbani model,40000000,32000000,0.25,39924983.24,NaN,NaN,0.998125,39924991,25.8693,1022
4,11,2,OFDM,Saleh model,20000000,16000000,0.25,19865152.26,NaN,NaN,0.993258,19865152.96,7.28502,1022
4,11,3,OFDM,Lookup table,40000000,32000000,0.25,39543697.89,NaN,NaN,0.988592,39543661.34,11.7149,1022
4,11,4,OFDM,Cubic polynomial,40000000,32000000,0.25,39492152.18,NaN,NaN,0.987304,39492135.94,-6.57048,1022
4,12,1,OFDM,Ghorbani model,40000000,32000000,0.25,49368967.25,NaN,NaN,1.23422,49368935.42,26.368,1022
4,12,2,OFDM,Saleh model,20000000,16000000,0.25,49412947.23,NaN,NaN,2.47065,49412952.32,7.28502,1022
4,12,3,OFDM,Lookup table,40000000,32000000,0.25,49548509.43,NaN,NaN,1.23871,49548435.93,11.7369,1022
4,12,4,OFDM,Cubic polynomial,40000000,32000000,0.25,49609401.15,NaN,NaN,1.24024,49609415.34,-5.90383,1022
4,15,1,OFDM,Ghorbani model,40000000,32000000,0.25,39947755.37,NaN,NaN,0.998694,39947748.17,6.83733,1022
4,15,2,OFDM,Saleh model,20000000,16000000,0.25,19960369.62,NaN,NaN,0.998018,19960368.67,14.5237,1022
4,15,3,OFDM,Lookup table,40000000,32000000,0.25,39552300.28,NaN,NaN,0.988808,39552291.09,11.8716,1022
4,15,4,OFDM,Cubic polynomial,40000000,32000000,0.25,39670407.01,NaN,NaN,0.99176,39670386.32,3.78005,1022
4,16,1,OFDM,Ghorbani model,40000000,32000000,0.25,49622868.14,NaN,NaN,1.24057,49622865.91,7.43159,1022
4,16,2,OFDM,Saleh model,20000000,16000000,0.25,49192319.33,NaN,NaN,2.45962,49192319.27,14.5237,1022
4,16,3,OFDM,Lookup table,40000000,32000000,0.25,49369609.43,NaN,NaN,1.23424,49369348.48,11.985,1022
4,16,4,OFDM,Cubic polynomial,40000000,32000000,0.25,49612432.18,NaN,NaN,1.24031,49612417.47,4.15858,1022
4,19,1,OFDM,Ghorbani model,40000000,32000000,0.25,40074814.72,NaN,NaN,1.00187,40074840.17,-9.09819,1022
4,19,2,OFDM,Saleh model,20000000,16000000,0.25,19982854.18,NaN,NaN,0.999143,19982855.78,19.9095,1022
4,19,3,OFDM,Lookup table,40000000,32000000,0.25,39529623.64,NaN,NaN,0.988241,39529678.78,20.0357,1022
4,19,4,OFDM,Cubic polynomial,40000000,32000000,0.25,39584089.38,NaN,NaN,0.989602,39584081.18,9.37393,1022
4,20,1,OFDM,Ghorbani model,40000000,32000000,0.25,49559087.3,NaN,NaN,1.23898,49559102.27,-8.49899,1022
4,20,2,OFDM,Saleh model,20000000,16000000,0.25,48870932.97,NaN,NaN,2.44355,48870932.07,19.9095,1022
4,20,3,OFDM,Lookup table,40000000,32000000,0.25,49371542.11,NaN,NaN,1.23429,49371653.39,20.0614,1022
4,20,4,OFDM,Cubic polynomial,40000000,32000000,0.25,49382881.13,NaN,NaN,1.23457,49382874.51,10.0277,1022
5,1,1,OFDM,Modified Rapp model,20000000,16000000,0.25,19963216.05,NaN,NaN,0.998161,19963576.48,-9.25719,1022
5,1,2,OFDM,Hyperbolic tangent,20000000,16000000,0.25,20009891.56,NaN,NaN,1.00049,19916128.61,15.8282,1022
5,1,3,QAM,Cubic polynomial,40000000,32000000,0.25,35135920.64,35298182.63,0.995403,0.878398,35136362.61,20.3976,1022
5,2,1,OFDM,Modified Rapp model,20000000,16000000,0.25,45597422.62,NaN,NaN,2.27987,45597330.7,-9.25719,817
5,2,2,OFDM,Hyperbolic tangent,20000000,16000000,0.25,45529927.83,NaN,NaN,2.2765,45468411.46,15.8282,817
5,2,3,QAM,Cubic polynomial,40000000,32000000,0.25,35266686.24,35298182.63,0.999108,0.881667,35266096.56,20.3976,817
5,3,1,QAM,Ghorbani model,40000000,32000000,0.25,35854607.52,35298182.63,1.01576,0.896365,35416602.08,-5.93293,305
5,4,1,QAM,Ghorbani model,40000000,32000000,0.25,35766241.57,35298182.63,1.01326,0.894156,35853109.36,-5.93293,1022
5,5,1,QAM,Ghorbani model,40000000,32000000,0.25,35813889.55,35298182.63,1.01461,0.895347,35609548.63,-5.93293,1022
5,6,1,QAM,Lookup table,40000000,32000000,0.25,35255540.07,35298182.63,0.998792,0.881389,35237912.5,21.3297,612
5,6,2,QAM,Ghorbani model,40000000,32000000,0.25,36249629.61,35298182.63,1.02695,0.906241,34839756.87,-5.93293,408
5,7,1,QAM,Lookup table,40000000,32000000,0.25,35033163.38,35298182.63,0.992492,0.875829,35179865.03,21.3297,1022
5,8,1,OFDM,Modified Rapp model,20000000,16000000,0.25,20409792.83,NaN,NaN,1.02049,20410462.61,0.999131,817
5,8,2,QAM,Lookup table,40000000,32000000,0.25,35396663.05,35298182.63,1.00279,0.884917,35170923.13,21.3297,1022
5,8,3,OFDM,Hyperbolic tangent,20000000,16000000,0.25,20364802.49,NaN,NaN,1.01824,20242921.55,12.4442,817
5,8,4,QAM,Cubic polynomial,40000000,32000000,0.25,35295805.73,35298182.63,0.999933,0.882395,35296062.43,21.4815,817
5,9,1,OFDM,Modified Rapp model,20000000,16000000,0.25,45481902.82,NaN,NaN,2.2741,45482153.52,0.999131,1022
5,9,2,QAM,Lookup table,40000000,32000000,0.25,35280172.81,35298182.63,0.99949,0.882004,35772366.81,21.3297,100
5,9,3,OFDM,Hyperbolic tangent,20000000,16000000,0.25,45460023.82,NaN,NaN,2.273,45441670.13,12.4442,1022
5,9,4,QAM,Cubic polynomial,40000000,32000000,0.25,35254247.03,35298182.63,0.998755,0.881356,35254694.56,21.4815,1022
5,10,1,OFDM,Modified Rapp model,20000000,16000000,0.25,19963216.05,NaN,NaN,0.998161,19964143.85,25.9587,1022
5,10,2,OFDM,Hyperbolic tangent,20000000,16000000,0.25,20009891.56,NaN,NaN,1.00049,19925013.5,-6.43242,1022
5,10,3,QAM,Cubic polynomial,40000000,32000000,0.25,35135920.64,35298182.63,0.995403,0.878398,35135388.29,2.74501,1022
