scenario,frame,src,family,paMethod,plannedBwHz,rsHz,beta,execObwHz,theoryCleanObwHz,ratioVsTheory,ratioVsAllocation,measObwHz,snrDb,activeN
1,1,1,QAM,Cubic polynomial,20000000,16000000,0.25,17616537.97,17649091.31,0.998156,0.880827,17616542.87,-9.25719,2048
1,1,2,OFDM,Ghorbani model,40000000,32000000,0.25,39820507.69,NaN,NaN,0.995513,39820498.93,21.6713,2048
1,5,1,QAM,Cubic polynomial,20000000,16000000,0.25,17639369.16,17649091.31,0.999449,0.881968,17639401.58,0.999129,2048
1,5,2,OFDM,Ghorbani model,40000000,32000000,0.25,39722459.43,NaN,NaN,0.993061,39722454.34,9.9676,2048
1,6,1,QAM,Cubic polynomial,20000000,16000000,0.25,17616537.97,17649091.31,0.998156,0.880827,17616545.64,25.9681,2048
1,6,2,OFDM,Ghorbani model,40000000,32000000,0.25,39820507.69,NaN,NaN,0.995513,39820515.89,7.62663,2048
1,10,1,QAM,Cubic polynomial,20000000,16000000,0.25,17639369.16,17649091.31,0.999449,0.881968,17639419.79,6.95998,2048
1,10,2,OFDM,Ghorbani model,40000000,32000000,0.25,39722459.43,NaN,NaN,0.993061,39722464.28,14.966,2048
1,11,1,QAM,Cubic polynomial,20000000,16000000,0.25,17616537.97,17649091.31,0.998156,0.880827,17616543.72,6.03752,2048
1,11,2,OFDM,Ghorbani model,40000000,32000000,0.25,39820507.69,NaN,NaN,0.995513,39820505.65,14.9395,2048
1,15,1,QAM,Cubic polynomial,20000000,16000000,0.25,17639369.16,17649091.31,0.999449,0.881968,17639407.17,8.53637,2048
1,15,2,OFDM,Ghorbani model,40000000,32000000,0.25,39722459.43,NaN,NaN,0.993061,39722458.23,10.8827,2048
2,1,1,OFDM,Lookup table,10000000,8000000,0.25,10020117.85,NaN,NaN,1.00201,9946516.066,-9.25719,2048
2,5,1,OFDM,Lookup table,10000000,8000000,0.25,10057323.96,NaN,NaN,1.00573,10059398.35,0.999132,2048
2,6,1,OFDM,Lookup table,10000000,8000000,0.25,10020117.85,NaN,NaN,1.00201,9964532.236,25.9692,2048
2,10,1,OFDM,Lookup table,10000000,8000000,0.25,10057323.96,NaN,NaN,1.00573,9924718.42,6.95999,2048
2,11,1,OFDM,Lookup table,10000000,8000000,0.25,10020117.85,NaN,NaN,1.00201,9983050.03,6.03753,2048
2,15,1,OFDM,Lookup table,10000000,8000000,0.25,10057323.96,NaN,NaN,1.00573,9930077.021,8.53638,2048
3,1,1,OFDM,Cubic polynomial,40000000,32000000,0.25,39613627.74,NaN,NaN,0.990341,39520095.14,-9.25719,1638
3,1,2,QAM,Hyperbolic tangent,40000000,32000000,0.25,35361325.47,35298182.63,1.00179,0.884033,35557454.22,21.3287,1638
3,1,3,OFDM,Cubic polynomial,40000000,32000000,0.25,39531614.53,NaN,NaN,0.98829,39423406.02,-5.93293,1638
3,4,1,OFDM,Cubic polynomial,40000000,32000000,0.25,39732369.58,NaN,NaN,0.993309,39637568.36,0.999132,1638
3,4,2,QAM,Hyperbolic tangent,40000000,32000000,0.25,35171862.14,35298182.63,0.996421,0.879297,35122255.73,9.52523,1638
3,4,3,OFDM,Cubic polynomial,40000000,32000000,0.25,39533835.76,NaN,NaN,0.988346,39436689.01,29.3999,1638
4,1,1,OFDM,Saleh model,40000000,32000000,0.25,39464175.64,NaN,NaN,0.986604,39464173.77,-9.21104,1024
4,1,2,OFDM,Hyperbolic tangent,20000000,16000000,0.25,19871907.26,NaN,NaN,0.993595,19872047.19,21.3229,1024
4,1,3,OFDM,Ghorbani model,40000000,32000000,0.25,39792207.51,NaN,NaN,0.994805,39792033.31,-5.89419,1024
4,1,4,OFDM,Saleh model,40000000,32000000,0.25,39476754.17,NaN,NaN,0.986919,39476741.2,15.9131,1024
4,2,1,OFDM,Saleh model,40000000,32000000,0.25,49014590.92,NaN,NaN,1.22536,49014564.92,-8.95404,1024
4,2,2,OFDM,Hyperbolic tangent,20000000,16000000,0.25,49183600.79,NaN,NaN,2.45918,49183648.54,21.323,1024
4,2,3,OFDM,Ghorbani model,40000000,32000000,0.25,49351905.32,NaN,NaN,1.2338,49351900.68,-6.00871,1024
4,2,4,OFDM,Saleh model,40000000,32000000,0.25,49472777.42,NaN,NaN,1.23682,49472855.56,16.2996,1024
4,5,1,OFDM,Saleh model,40000000,32000000,0.25,39622086.34,NaN,NaN,0.990552,39622122.81,1.02505,1024
4,5,2,OFDM,Hyperbolic tangent,20000000,16000000,0.25,19911718.32,NaN,NaN,0.995586,19911791.27,9.52516,1024
4,5,3,OFDM,Ghorbani model,40000000,32000000,0.25,39825845.72,NaN,NaN,0.995646,39825996.83,29.3847,1024
