scenario,frame,src,family,paMethod,plannedBwHz,rsHz,beta,execObwHz,theoryCleanObwHz,ratioVsTheory,ratioVsAllocation,measObwHz,snrDb,activeN
1,1,1,QAM,Cubic polynomial,20000000,16000000,0.25,17616531.81,17649091.31,0.998155,0.880827,17616536.71,-9.25719,2048
1,1,2,OFDM,Cubic polynomial,40000000,32000000,0.25,39566103.14,NaN,NaN,0.989153,39566102.01,21.7523,2048
1,5,1,QAM,Cubic polynomial,20000000,16000000,0.25,17576721.06,17649091.31,0.995899,0.878836,17576737.84,0.999133,2048
1,5,2,OFDM,Cubic polynomial,40000000,32000000,0.25,39446862.61,NaN,NaN,0.986172,39446791.55,10.3113,2048
1,6,1,QAM,Cubic polynomial,20000000,16000000,0.25,17616531.81,17649091.31,0.998155,0.880827,17616539.47,25.9693,2048
1,6,2,OFDM,Cubic polynomial,40000000,32000000,0.25,39566103.14,NaN,NaN,0.989153,39566104.25,7.7076,2048
1,10,1,QAM,Cubic polynomial,20000000,16000000,0.25,17576721.06,17649091.31,0.995899,0.878836,17576747.25,6.95999,2048
1,10,2,OFDM,Cubic polynomial,40000000,32000000,0.25,39446862.61,NaN,NaN,0.986172,39446935.14,15.3097,2048
1,11,1,QAM,Cubic polynomial,20000000,16000000,0.25,17616531.81,17649091.31,0.998155,0.880827,17616537.56,6.03754,2048
1,11,2,OFDM,Cubic polynomial,40000000,32000000,0.25,39566103.14,NaN,NaN,0.989153,39566102.87,15.0205,2048
1,15,1,QAM,Cubic polynomial,20000000,16000000,0.25,17576721.06,17649091.31,0.995899,0.878836,17576740.73,8.53639,2048
1,15,2,OFDM,Cubic polynomial,40000000,32000000,0.25,39446862.61,NaN,NaN,0.986172,39446845.49,11.2263,2048
2,1,1,OFDM,Lookup table,10000000,8000000,0.25,10020176.06,NaN,NaN,1.00202,9946533.73,-9.25719,2048
2,5,1,OFDM,Lookup table,10000000,8000000,0.25,10032888.42,NaN,NaN,1.00329,9999975.117,0.999133,2048
2,6,1,OFDM,Lookup table,10000000,8000000,0.25,10020176.06,NaN,NaN,1.00202,9964534.322,25.9693,2048
2,10,1,OFDM,Lookup table,10000000,8000000,0.25,10032888.42,NaN,NaN,1.00329,9900761.612,6.95999,2048
2,11,1,OFDM,Lookup table,10000000,8000000,0.25,10020176.06,NaN,NaN,1.00202,9983060.009,6.03754,2048
2,15,1,OFDM,Lookup table,10000000,8000000,0.25,10032888.42,NaN,NaN,1.00329,9952291.001,8.53639,2048
3,1,1,OFDM,Cubic polynomial,40000000,32000000,0.25,39613628.74,NaN,NaN,0.990341,39520072.36,-9.25719,1638
3,1,2,QAM,Ghorbani model,40000000,32000000,0.25,36589825.17,35298182.63,1.03659,0.914746,36577756.35,21.3296,1638
3,1,3,OFDM,Saleh model,40000000,32000000,0.25,39579603.22,NaN,NaN,0.98949,39583863.01,-5.93293,1638
3,4,1,OFDM,Cubic polynomial,40000000,32000000,0.25,39505797.47,NaN,NaN,0.987645,39443901.17,0.999132,1638
3,4,2,QAM,Ghorbani model,40000000,32000000,0.25,35632479.39,35298182.63,1.00947,0.890812,35653117.46,9.52524,1638
3,4,3,OFDM,Saleh model,40000000,32000000,0.25,39580342.79,NaN,NaN,0.989509,39534185.92,29.4003,1638
4,1,1,OFDM,Saleh model,40000000,32000000,0.25,39464172.2,NaN,NaN,0.986604,39464170.34,-9.2111,1024
4,1,2,OFDM,Lookup table,20000000,16000000,0.25,19877634.55,NaN,NaN,0.993882,19877634.81,21.3297,1024
4,1,3,OFDM,Saleh model,40000000,32000000,0.25,39537040.19,NaN,NaN,0.988426,39537000.55,-5.72756,1024
4,1,4,OFDM,Hyperbolic tangent,40000000,32000000,0.25,39477905.25,NaN,NaN,0.986948,39478030.72,15.9456,1024
4,2,1,OFDM,Saleh model,40000000,32000000,0.25,49671713.86,NaN,NaN,1.24179,49671692.74,-8.88325,1024
4,2,2,OFDM,Lookup table,20000000,16000000,0.25,49415133.8,NaN,NaN,2.47076,49415017.36,21.3297,1024
4,2,3,OFDM,Saleh model,40000000,32000000,0.25,49091123.14,NaN,NaN,1.22728,49090954.98,-5.51148,1024
4,2,4,OFDM,Hyperbolic tangent,40000000,32000000,0.25,48944275.2,NaN,NaN,1.22361,48944458.95,16.287,1024
4,5,1,OFDM,Saleh model,40000000,32000000,0.25,39460304.2,NaN,NaN,0.986508,39460299.13,1.01666,1024
4,5,2,OFDM,Lookup table,20000000,16000000,0.25,19978111.15,NaN,NaN,0.998906,19978104.82,9.52525,1024
4,5,3,OFDM,Saleh model,40000000,32000000,0.25,39474847.49,NaN,NaN,0.986871,39474868.13,29.5885,1024
4,5,4,OFDM,Hyperbolic tangent,40000000,32000000,0.25,39712602.8,NaN,NaN,0.992815,39712573.87,12.5237,1024
4,6,1,OFDM,Saleh model,40000000,32000000,0.25,49526254.22,NaN,NaN,1.23816,49526287.53,1.13351,1024
4,6,2,OFDM,Lookup table,20000000,16000000,0.25,49500049.51,NaN,NaN,2.475,49500122.07,9.52525,1024
4,6,3,OFDM,Saleh model,40000000,32000000,0.25,49158741.45,NaN,NaN,1.22897,49159264.61,29.8627,1024
4,6,4,OFDM,Hyperbolic tangent,40000000,32000000,0.25,49601071.96,NaN,NaN,1.24003,49601099.87,12.5658,1024
4,9,1,OFDM,Saleh model,40000000,32000000,0.25,39676864.78,NaN,NaN,0.991922,39676903.53,4.71891,1024
4,9,2,OFDM,Lookup table,20000000,16000000,0.25,19966225.42,NaN,NaN,0.998311,19966213.27,21.6946,1024
4,9,3,OFDM,Saleh model,40000000,32000000,0.25,39568088.18,NaN,NaN,0.989202,39568129.83,20.1012,1024
4,9,4,OFDM,Hyperbolic tangent,40000000,32000000,0.25,39618332.68,NaN,NaN,0.990458,39618339.02,23.3032,1024
4,10,1,OFDM,Saleh model,40000000,32000000,0.25,49680188,NaN,NaN,1.242,49680181.11,4.91063,1024
4,10,2,OFDM,Lookup table,20000000,16000000,0.25,49185222.92,NaN,NaN,2.45926,49185305.11,21.6946,1024
4,10,3,OFDM,Saleh model,40000000,32000000,0.25,48978972.23,NaN,NaN,1.22447,48979200.14,20.3491,1024
4,10,4,OFDM,Hyperbolic tangent,40000000,32000000,0.25,49481680.53,NaN,NaN,1.23704,49481275.52,23.4427,1024
4,11,1,OFDM,Saleh model,40000000,32000000,0.25,39464172.2,NaN,NaN,0.986604,39464173.29,26.0154,1024
4,11,2,OFDM,Lookup table,20000000,16000000,0.25,19877634.55,NaN,NaN,0.993882,19877634.53,7.28502,1024
4,11,3,OFDM,Saleh model,40000000,32000000,0.25,39537040.19,NaN,NaN,0.988426,39537004.79,11.8586,1024
4,11,4,OFDM,Hyperbolic tangent,40000000,32000000,0.25,39477905.25,NaN,NaN,0.986948,39477980.67,-6.31512,1024
4,12,1,OFDM,Saleh model,40000000,32000000,0.25,49671713.86,NaN,NaN,1.24179,49671726.2,26.3432,1024
4,12,2,OFDM,Lookup table,20000000,16000000,0.25,49415133.8,NaN,NaN,2.47076,49415140.57,7.28502,1024
4,12,3,OFDM,Saleh model,40000000,32000000,0.25,49091123.14,NaN,NaN,1.22728,49090972.86,12.0747,1024
4,12,4,OFDM,Hyperbolic tangent,40000000,32000000,0.25,48944275.2,NaN,NaN,1.22361,48944385.54,-5.97372,1024
4,15,1,OFDM,Saleh model,40000000,32000000,0.25,39460304.2,NaN,NaN,0.986508,39460307.16,6.97751,1024
4,15,2,OFDM,Lookup table,20000000,16000000,0.25,19978111.15,NaN,NaN,0.998906,19978111.51,14.5237,1024
